nom,groupe_sigle,commission_permanente,fonction,assemblee_nationale_email
Jean-Louis Thiériot,LR,Défense nationale et forces armées,Membre,jean-louis.thieriot@assemblee-nationale.fr
Mounir Belhamiti,REN,Défense nationale et forces armées,Membre,mounir.belhamiti@assemblee-nationale.fr
Pascal Lavergne,REN,Développement durable et aménagement du territoire,Membre,pascal.lavergne@assemblee-nationale.fr
Nicolas Meizonnet,RN,,,nicolas.meizonnet@assemblee-nationale.fr
Claudia Rouaux,SOC,,,claudia.rouaux@assemblee-nationale.fr
Nathalie Serre,LR,,,nathalie.serre@assemblee-nationale.fr
Brigitte Klinkert,REN,,,brigitte.klinkert@assemblee-nationale.fr
Jean-Luc Bourgeaux,LR,,,jean-luc.bourgeaux@assemblee-nationale.fr
Chantal Jourdan,SOC,,,chantal.jourdan@assemblee-nationale.fr
Gérard Leseul,SOC,,,gerard.leseul@assemblee-nationale.fr
Anne-Laure Blin,LR,,,anne-laure.blin@assemblee-nationale.fr
Isabelle Santiago,SOC,,,isabelle.santiago@assemblee-nationale.fr
Karine Lebon,GDR,,,karine.lebon@assemblee-nationale.fr
Maud Gatel,MODEM,,,maud.gatel@assemblee-nationale.fr
Luc Lamirault,HOR,,,luc.lamirault@assemblee-nationale.fr
Victor Habert-Dassault,LR,,,victor.habert-dassault@assemblee-nationale.fr
Christelle Petex-Levet,LR,,,christelle.petex-levet@assemblee-nationale.fr
Stéphane Vojetta,REN,,,stephane.vojetta@assemblee-nationale.fr
Emmanuel Blairy,RN,,,emmanuel.blairy@assemblee-nationale.fr
Jean-Victor Castor,GDR,,,jean-victor.castor@assemblee-nationale.fr
Benoit Mournet,REN,,,benoit.mournet@assemblee-nationale.fr
Sylvain Carrière,LFI,,,sylvain.carriere@assemblee-nationale.fr
Johnny Hajjar,SOC,,,johnny.hajjar@assemblee-nationale.fr
Marie Pochon,ECO,,,marie.pochon@assemblee-nationale.fr
Danielle Simonnet,LFI,,,danielle.simonnet@assemblee-nationale.fr
Frank Giletti,RN,,,frank.giletti@assemblee-nationale.fr
Benjamin Lucas,ECO,,,benjamin.lucas@assemblee-nationale.fr
Sarah Legrain,LFI,,,sarah.legrain@assemblee-nationale.fr
Laurent Alexandre,LFI,,,laurent.alexandre@assemblee-nationale.fr
Delphine Lingemann,MODEM,,,delphine.lingemann@assemblee-nationale.fr
Thomas Cazenave,REN,,,thomas.cazenave@assemblee-nationale.fr
Pierre Meurin,RN,,,pierre.meurin@assemblee-nationale.fr
José Gonzalez,RN,,,jose.gonzalez@assemblee-nationale.fr
Laurent Jacobelli,RN,,,laurent.jacobelli@assemblee-nationale.fr
Hervé de Lépinau,RN,,,herve.delepinau@assemblee-nationale.fr
Victor Catteau,RN,,,victor.catteau@assemblee-nationale.fr
Julien Bayou,ECO,,,julien.bayou@assemblee-nationale.fr
Charles Fournier,ECO,,,charles.fournier@assemblee-nationale.fr
Philippe Lottiaux,RN,,,philippe.lottiaux@assemblee-nationale.fr
Jérémie Iordanoff,ECO,,,jeremie.iordanoff@assemblee-nationale.fr
Frédéric Boccaletti,RN,,,frederic.boccaletti@assemblee-nationale.fr
Franck Allisio,RN,,,franck.allisio@assemblee-nationale.fr
Pierrick Berteloot,RN,,,pierrick.berteloot@assemblee-nationale.fr
Caroline Colombier,RN,,,caroline.colombier@assemblee-nationale.fr
Xavier Albertini,HOR,,,xavier.albertini@assemblee-nationale.fr
David Amiel,REN,,,david.amiel@assemblee-nationale.fr
François Gernigon,HOR,,,francois.gernigon@assemblee-nationale.fr
Idir Boumertit,LFI,,,idir.boumertit@assemblee-nationale.fr
Francis Dubois,LR,,,francis.dubois@assemblee-nationale.fr
Maxime Laisney,LFI,,,maxime.laisney@assemblee-nationale.fr
Rodrigo Arenas,LFI,,,rodrigo.arenas@assemblee-nationale.fr
Sabrina Sebaihi,ECO,,,sabrina.sebaihi@assemblee-nationale.fr
Émilie Chandler,REN,,,emilie.chandler@assemblee-nationale.fr
David Guiraud,LFI,,,david.guiraud@assemblee-nationale.fr
Pascale Bordes,RN,,,pascale.bordes@assemblee-nationale.fr
Anna Pic,SOC,,,anna.pic@assemblee-nationale.fr
Aymeric Caron,LFI,,,aymeric.caron@assemblee-nationale.fr
Emmanuel Pellerin,REN,,,emmanuel.pellerin@assemblee-nationale.fr
Benjamin Haddad,REN,,,benjamin.haddad@assemblee-nationale.fr
Anne-Cécile Violland,HOR,,,anne-cecile.violland@assemblee-nationale.fr
Isabelle Périgault,LR,,,isabelle.perigault@assemblee-nationale.fr
Martine Etienne,LFI,,,martine.etienne@assemblee-nationale.fr
Steve Chailloux,GDR,,,steve.chailloux@assemblee-nationale.fr
Emeline K/Bidi,GDR,,,emeline.kbidi@assemblee-nationale.fr
Michaël Taverne,RN,,,michael.taverne@assemblee-nationale.fr
David Valence,REN,,,david.valence@assemblee-nationale.fr
Julie Lechanteux,RN,,,julie.lechanteux@assemblee-nationale.fr
Dominique Faure,REN,,,dominique.faure@assemblee-nationale.fr
Manon Meunier,LFI,,,manon.meunier@assemblee-nationale.fr
Pierre Cazeneuve,REN,,,pierre.cazeneuve@assemblee-nationale.fr
Bénédicte Auzanot,RN,,,benedicte.auzanot@assemblee-nationale.fr
Jérémie Patrier-Leitus,HOR,,,jeremie.patrier-leitus@assemblee-nationale.fr
Christophe Bentz,RN,,,christophe.bentz@assemblee-nationale.fr
Alexandre Portier,LR,,,alexandre.portier@assemblee-nationale.fr
Yannick Chenevard,REN,,,yannick.chenevard@assemblee-nationale.fr
Annick Cousin,RN,,,annick.cousin@assemblee-nationale.fr
Frédéric Mathieu,LFI,,,frederic.mathieu@assemblee-nationale.fr
Sylvie Ferrer,LFI,,,sylvie.ferrer@assemblee-nationale.fr
Philippe Ballard,RN,,,philippe.ballard@assemblee-nationale.fr
Timothée Houssin,RN,,,timothee.houssin@assemblee-nationale.fr
Justine Gruet,LR,,,justine.gruet@assemblee-nationale.fr
Marie-Agnès Poussier-Winsback,HOR,,,marieagnes.poussier-winsback@assemblee-nationale.fr
Manuel Bompard,LFI,,,manuel.bompard@assemblee-nationale.fr
Fatiha Keloua Hachi,SOC,,,fatiha.kelouahachi@assemblee-nationale.fr
Joris Hébrard,RN,,,joris.hebrard@assemblee-nationale.fr
Thierry Frappé,RN,,,thierry.frappe@assemblee-nationale.fr
José Beaurain,RN,,,jose.beaurain@assemblee-nationale.fr
Christine Decodts,REN,,,christine.decodts@assemblee-nationale.fr
Gabriel Amard,LFI,,,gabriel.amard@assemblee-nationale.fr
Philippe Pradal,HOR,,,philippe.pradal@assemblee-nationale.fr
Julie Laernoes,ECO,,,julie.laernoes@assemblee-nationale.fr
Antoine Léaument,LFI,,,antoine.leaument@assemblee-nationale.fr
Ségolène Amiot,LFI,,,segolene.amiot@assemblee-nationale.fr
Grégoire de Fournas,RN,,,gregoire.defournas@assemblee-nationale.fr
Mélanie Thomin,SOC,,,melanie.thomin@assemblee-nationale.fr
Stéphane Delautrette,SOC,,,stephane.delautrette@assemblee-nationale.fr
Frédéric Maillot,GDR,,,frederic.maillot@assemblee-nationale.fr
Frédéric Cabrolier,RN,,,frederic.cabrolier@assemblee-nationale.fr
Frantz Gumbs,MODEM,,,frantz.gumbs@assemblee-nationale.fr
Jiovanny William,GDR,,,jiovanny.william@assemblee-nationale.fr
Maud Bregeon,REN,,,maud.bregeon@assemblee-nationale.fr
Emeric Salmon,RN,,,emeric.salmon@assemblee-nationale.fr
Gisèle Lelouis,RN,,,gisele.lelouis@assemblee-nationale.fr
Romain Daubié,MODEM,,,romain.daubie@assemblee-nationale.fr
Hélène Laporte,RN,,,helene.laporte@assemblee-nationale.fr
Françoise Buffet,REN,,,francoise.buffet@assemblee-nationale.fr
Cyrielle Chatelain,ECO,,,cyrielle.chatelain@assemblee-nationale.fr
Thomas Portes,LFI,,,thomas.portes@assemblee-nationale.fr
Edwige Diaz,RN,,,edwige.diaz@assemblee-nationale.fr
Quentin Bataillon,REN,,,quentin.bataillon@assemblee-nationale.fr
Yannick Monnet,GDR,,,yannick.monnet@assemblee-nationale.fr
Christophe Marion,REN,,,christophe.marion@assemblee-nationale.fr
Matthieu Marchio,RN,,,matthieu.marchio@assemblee-nationale.fr
Jordan Guitton,RN,,,jordan.guitton@assemblee-nationale.fr
Estelle Youssouffa,LIOT,,,estelle.youssouffa@assemblee-nationale.fr
Pascal Lecamp,MODEM,,,pascal.lecamp@assemblee-nationale.fr
Angélique Ranc,RN,,,angelique.ranc@assemblee-nationale.fr
Stéphane Lenormand,LIOT,,,stephane.lenormand@assemblee-nationale.fr
Thibaut François,RN,,,thibaut.francois@assemblee-nationale.fr
Davy Rimane,GDR,,,davy.rimane@assemblee-nationale.fr
Louis Boyard,LFI,,,louis.boyard@assemblee-nationale.fr
Sophie Blanc,RN,,,sophie.blanc@assemblee-nationale.fr
Élise Leboucher,LFI,,,elise.leboucher@assemblee-nationale.fr
Philippe Brun,SOC,,,philippe.brun@assemblee-nationale.fr
Pascale Martin,LFI,,,pascale.martin@assemblee-nationale.fr
Philippe Schreck,RN,,,philippe.schreck@assemblee-nationale.fr
Christian Girard,RN,,,christian.girard@assemblee-nationale.fr
Aurélien Lopez-Liguori,RN,,,aurelien.lopezliguori@assemblee-nationale.fr
Marina Ferrari,MODEM,,,marina.ferrari@assemblee-nationale.fr
Jean-François Coulomme,LFI,,,jean-francois.coulomme@assemblee-nationale.fr
Jocelyn Dessigny,RN,,,jocelyn.dessigny@assemblee-nationale.fr
Tematai Le Gayic,GDR,,,tematai.legayic@assemblee-nationale.fr
Christophe Barthès,RN,,,christophe.barthes@assemblee-nationale.fr
Marianne Maximi,LFI,,,marianne.maximi@assemblee-nationale.fr
Anaïs Sabatini,RN,,,anais.sabatini@assemblee-nationale.fr
Laurence Robert-Dehault,RN,,,laurence.robert-dehault@assemblee-nationale.fr
Sophie Taillé-Polian,ECO,,,sophie.taille-polian@assemblee-nationale.fr
Anne-Sophie Frigout,RN,,,anne-sophie.frigout@assemblee-nationale.fr
Lionel Vuibert,REN,,,lionel.vuibert@assemblee-nationale.fr
Hadrien Ghomi,REN,,,hadrien.ghomi@assemblee-nationale.fr
Karim Ben Cheikh,ECO,,,karim.bencheikh@assemblee-nationale.fr
Élisa Martin,LFI,,,elisa.martin@assemblee-nationale.fr
Paul Vannier,LFI,,,paul.vannier@assemblee-nationale.fr
Prisca Thevenot,REN,,,prisca.thevenot@assemblee-nationale.fr
Jean-Claude Raux,ECO,,,jean-claude.raux@assemblee-nationale.fr
Bertrand Petit,SOC,,,bertrand.petit@assemblee-nationale.fr
Mathieu Lefèvre,REN,,,mathieu.lefevre@assemblee-nationale.fr
Mikaele Seo,REN,,,mikaele.seo@assemblee-nationale.fr
Karen Erodi,LFI,,,karen.erodi@assemblee-nationale.fr
Antoine Villedieu,RN,,,antoine.villedieu@assemblee-nationale.fr
Jean-François Lovisolo,REN,,,jean-francois.lovisolo@assemblee-nationale.fr
Julie Delpech,REN,,,julie.delpech@assemblee-nationale.fr
Lysiane Métayer,REN,,,lysiane.metayer@assemblee-nationale.fr
Romain Baubry,RN,,,romain.baubry@assemblee-nationale.fr
Nadège Abomangoli,LFI,,,nadege.abomangoli@assemblee-nationale.fr
Catherine Couturier,LFI,,,catherine.couturier@assemblee-nationale.fr
Jean-François Rousset,REN,,,jean-francois.rousset@assemblee-nationale.fr
Alexandra Martin,LR,,,alexandra.martin@assemblee-nationale.fr
Christine Loir,RN,,,christine.loir@assemblee-nationale.fr
Marcellin Nadeau,GDR,,,marcellin.nadeau@assemblee-nationale.fr
Alexis Izard,REN,,,alexis.izard@assemblee-nationale.fr
Lisette Pollet,RN,,,lisette.pollet@assemblee-nationale.fr
Nicolas Pacquot,REN,,,nicolas.pacquot@assemblee-nationale.fr
Andy Kerbrat,LFI,,,andy.kerbrat@assemblee-nationale.fr
Antoine Armand,REN,,,antoine.armand@assemblee-nationale.fr
Ersilia Soudais,LFI,,,ersilia.soudais@assemblee-nationale.fr
Arnaud Le Gall,LFI,,,arnaud.legall@assemblee-nationale.fr
Michel Sala,LFI,,,michel.sala@assemblee-nationale.fr
Kévin Pfeffer,RN,,,kevin.pfeffer@assemblee-nationale.fr
Daniel Grenon,RN,,,daniel.grenon@assemblee-nationale.fr
Alexandre Sabatou,RN,,,alexandre.sabatou@assemblee-nationale.fr
Stéphanie Galzy,RN,,,stephanie.galzy@assemblee-nationale.fr
Aurélie Trouvé,LFI,,,aurelie.trouve@assemblee-nationale.fr
Aurélien Saintoul,LFI,,,aurelien.saintoul@assemblee-nationale.fr
Jean-Marc Tellier,GDR,,,jean-marc.tellier@assemblee-nationale.fr
Sébastien Delogu,LFI,,,sebastien.delogu@assemblee-nationale.fr
Mathilde Hignet,LFI,,,mathilde.hignet@assemblee-nationale.fr
Alexandra Masson,RN,,,alexandra.masson@assemblee-nationale.fr
Sarah Tanzilli,REN,,,sarah.tanzilli@assemblee-nationale.fr
Jean-Philippe Tanguy,RN,,,jean-philippe.tanguy@assemblee-nationale.fr
William Martinet,LFI,,,william.martinet@assemblee-nationale.fr
Carlos Martens Bilongo,LFI,,,carlosmartens.bilongo@assemblee-nationale.fr
Géraldine Grangier,RN,,,geraldine.grangier@assemblee-nationale.fr
Marc Ferracci,REN,,,marc.ferracci@assemblee-nationale.fr
Lionel Tivoli,RN,,,lionel.tivoli@assemblee-nationale.fr
Bastien Marchive,REN,,,bastien.marchive@assemblee-nationale.fr
Francesca Pasquini,ECO,,,francesca.pasquini@assemblee-nationale.fr
Béatrice Roullaud,RN,,,beatrice.roullaud@assemblee-nationale.fr
Charles Rodwell,REN,,,charles.rodwell@assemblee-nationale.fr
Christophe Plassard,HOR,,,christophe.plassard@assemblee-nationale.fr
Antoine Vermorel-Marques,LR,,,antoine.vermorel-marques@assemblee-nationale.fr
Clément Beaune,REN,,,clement.beaune@assemblee-nationale.fr
Elie Califer,SOC,,,elie.califer@assemblee-nationale.fr
Emmanuel Fernandes,LFI,,,emmanuel.fernandes@assemblee-nationale.fr
Laure Lavalette,RN,,,laure.lavalette@assemblee-nationale.fr
Perceval Gaillard,LFI,,,perceval.gaillard@assemblee-nationale.fr
Nicolas Dragon,RN,,,nicolas.dragon@assemblee-nationale.fr
Christelle D'Intorni,LR,,,christelle.dintorni@assemblee-nationale.fr
Hubert Brigand,LR,,,hubert.brigand@assemblee-nationale.fr
Anne Le Hénanff,HOR,,,anne.lehenanff@assemblee-nationale.fr
Hubert Ott,MODEM,,,hubert.ott@assemblee-nationale.fr
Violette Spillebout,REN,,,violette.spillebout@assemblee-nationale.fr
Estelle Folest,MODEM,,,estelle.folest@assemblee-nationale.fr
Florian Chauche,LFI,,,florian.chauche@assemblee-nationale.fr
Laurence Cristol,REN,,,laurence.cristol@assemblee-nationale.fr
Anne-Laure Babault,MODEM,,,anne-laure.babault@assemblee-nationale.fr
Mickaël Bouloux,SOC,,,mickael.bouloux@assemblee-nationale.fr
Alexis Jolly,RN,,,alexis.jolly@assemblee-nationale.fr
Paul Midy,REN,,,paul.midy@assemblee-nationale.fr
Hadrien Clouet,LFI,,,hadrien.clouet@assemblee-nationale.fr
Jorys Bovet,RN,,,jorys.bovet@assemblee-nationale.fr
Matthias Tavel,LFI,,,matthias.tavel@assemblee-nationale.fr
Inaki Echaniz,SOC,,,inaki.echaniz@assemblee-nationale.fr
Marie-Charlotte Garin,ECO,,,marie-charlotte.garin@assemblee-nationale.fr
Kévin Mauvieux,RN,,,kevin.mauvieux@assemblee-nationale.fr
Andrée Taurinya,LFI,,,andree.taurinya@assemblee-nationale.fr
Nathalie Da Conceicao Carvalho,RN,,,nathalie.daconceicaocarvalho@assemblee-nationale.fr
Marine Hamelet,RN,,,marine.hamelet@assemblee-nationale.fr
Philippe Juvin,LR,,,philippe.juvin@assemblee-nationale.fr
Sandrine Rousseau,ECO,,,sandrine.rousseau@assemblee-nationale.fr
Anthony Brosse,REN,,,anthony.brosse@assemblee-nationale.fr
Frédéric Valletoux,HOR,,,frederic.valletoux@assemblee-nationale.fr
Jérôme Legavre,LFI,,,jerome.legavre@assemblee-nationale.fr
Éric Martineau,MODEM,,,eric.martineau@assemblee-nationale.fr
Laurent Croizier,MODEM,,,laurent.croizier@assemblee-nationale.fr
Henri Alfandari,HOR,,,henri.alfandari@assemblee-nationale.fr
Stéphanie Kochert,HOR,,,stephanie.kochert@assemblee-nationale.fr
Yannick Neuder,LR,,,yannick.neuder@assemblee-nationale.fr
Alma Dufour,LFI,,,alma.dufour@assemblee-nationale.fr
Vincent Seitlinger,LR,,,vincent.seitlinger@assemblee-nationale.fr
Philippe Fait,REN,,,philippe.fait@assemblee-nationale.fr
Laurent Panifous,NI,,,laurent.panifous@assemblee-nationale.fr
Nicolas Thierry,ECO,,,nicolas.thierry@assemblee-nationale.fr
Sandra Regol,ECO,,,sandra.regol@assemblee-nationale.fr
Florence Goulet,RN,,,florence.goulet@assemblee-nationale.fr
Yaël Menache,RN,,,yael.menache@assemblee-nationale.fr
Michèle Martinez,RN,,,michele.martinez@assemblee-nationale.fr
Rachel Keke,LFI,,,rachel.keke@assemblee-nationale.fr
Sandrine Dogor-Such,RN,,,sandrine.dogor-such@assemblee-nationale.fr
Nathalie Oziol,LFI,,,nathalie.oziol@assemblee-nationale.fr
Thomas Ménagé,RN,,,thomas.menage@assemblee-nationale.fr
Mathilde Paris,RN,,,mathilde.paris@assemblee-nationale.fr
Mickaël Cosson,MODEM,,,mickael.cosson@assemblee-nationale.fr
Hendrik Davi,LFI,,,hendrik.davi@assemblee-nationale.fr
Serge Muller,RN,,,serge.muller@assemblee-nationale.fr
Julien Rancoule,RN,,,julien.rancoule@assemblee-nationale.fr
Sébastien Rome,LFI,,,sebastien.rome@assemblee-nationale.fr
Bryan Masson,RN,,,bryan.masson@assemblee-nationale.fr
Astrid Panosyan-Bouvet,REN,,,astrid.panosyan-bouvet@assemblee-nationale.fr
Caroline Parmentier,RN,,,caroline.parmentier@assemblee-nationale.fr
Jérôme Buisson,RN,,,jerome.buisson@assemblee-nationale.fr
Léo Walter,LFI,,,leo.walter@assemblee-nationale.fr
Christine Arrighi,ECO,,,christine.arrighi@assemblee-nationale.fr
Élisabeth Borne,REN,,,elisabeth.borne@assemblee-nationale.fr
Charles Sitzenstuhl,REN,,,charles.sitzenstuhl@assemblee-nationale.fr
Roger Vicot,SOC,,,roger.vicot@assemblee-nationale.fr
Arthur Delaporte,SOC,,,arthur.delaporte@assemblee-nationale.fr
Roger Chudeau,RN,,,roger.chudeau@assemblee-nationale.fr
Christophe Bex,LFI,,,christophe.bex@assemblee-nationale.fr
Murielle Lepvraud,LFI,,,murielle.lepvraud@assemblee-nationale.fr
Michel Guiniot,RN,,,michel.guiniot@assemblee-nationale.fr
Joëlle Mélin,RN,,,joelle.melin@assemblee-nationale.fr
Katiana Levavasseur,RN,,,katiana.levavasseur@assemblee-nationale.fr
Didier Lemaire,HOR,,,didier.lemaire@assemblee-nationale.fr
Louis Margueritte,REN,,,louis.margueritte@assemblee-nationale.fr
Emmanuel Taché de la Pagerie,RN,,,emmanuel.tachedelapagerie@assemblee-nationale.fr
Emmanuel Lacresse,REN,,,emmanuel.lacresse@assemblee-nationale.fr
Sébastien Peytavie,ECO,,,sebastien.peytavie@assemblee-nationale.fr
Benoît Bordat,REN,,,benoit.bordat@assemblee-nationale.fr
Soumya Bourouaha,GDR,,,soumya.bourouaha@assemblee-nationale.fr
Nicolas Metzdorf,REN,,,nicolas.metzdorf@assemblee-nationale.fr
Jean-Pierre Taite,LR,,,jean-pierre.taite@assemblee-nationale.fr
Sabrina Agresti-Roubache,REN,,,sabrina.agrestiroubache@assemblee-nationale.fr
Christine Engrand,RN,,,christine.engrand@assemblee-nationale.fr
Alexandre Vincendet,LR,,,alexandre.vincendet@assemblee-nationale.fr
Emmanuel Mandon,MODEM,,,emmanuel.mandon@assemblee-nationale.fr
Nicolas Ray,LR,,,nicolas.ray@assemblee-nationale.fr
David Taupiac,NI,,,david.taupiac@assemblee-nationale.fr
Louise Morel,MODEM,,,louise.morel@assemblee-nationale.fr
Lionel Royer-Perreaut,REN,,,lionel.royer-perreaut@assemblee-nationale.fr
Sophia Chikirou,LFI,,,sophia.chikirou@assemblee-nationale.fr
Christian Baptiste,SOC,,,christian.baptiste@assemblee-nationale.fr
Alexandre Loubet,RN,,,alexandre.loubet@assemblee-nationale.fr
Benjamin Saint-Huile,NI,,,benjamin.saint-huile@assemblee-nationale.fr
Yoann Gillet,RN,,,yoann.gillet@assemblee-nationale.fr
Charlotte Leduc,LFI,,,charlotte.leduc@assemblee-nationale.fr
Karl Olive,REN,,,karl.olive@assemblee-nationale.fr
Lisa Belluco,ECO,,,lisa.belluco@assemblee-nationale.fr
Damien Maudet,LFI,,,damien.maudet@assemblee-nationale.fr
Béatrice Bellamy,HOR,,,beatrice.bellamy@assemblee-nationale.fr
Félicie Gérard,HOR,,,felicie.gerard@assemblee-nationale.fr
Anne Stambach-Terrenoir,LFI,,,anne.stambach-terrenoir@assemblee-nationale.fr
Julien Odoul,RN,,,julien.odoul@assemblee-nationale.fr
Farida Amrani,LFI,,,farida.amrani@assemblee-nationale.fr
Raquel Garrido,LFI,,,raquel.garrido@assemblee-nationale.fr
François Piquemal,LFI,,,francois.piquemal@assemblee-nationale.fr
Frédéric Falcon,RN,,,frederic.falcon@assemblee-nationale.fr
Clémence Guetté,LFI,,,clemence.guette@assemblee-nationale.fr
Stéphane Rambaud,RN,,,stephane.rambaud@assemblee-nationale.fr
Eléonore Caroit,REN,,,eleonore.caroit@assemblee-nationale.fr
